income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
84.0,435000.0,305000.0,6.624,False,False,False,False,False,False,True,0.0
117.0,325000.0,315000.0,7.5,False,False,False,False,False,False,True,0.0
134.0,405000.0,325000.0,7.99,False,False,False,False,False,False,True,0.0
77.0,365000.0,215000.0,8.5,False,False,False,False,False,False,True,0.0
61.0,225000.0,165000.0,6.5,False,False,False,False,False,False,True,0.0
309.0,505000.0,475000.0,6.25,False,False,False,False,False,False,True,195.0
62.0,185000.0,185000.0,6.625,False,False,False,False,False,True,False,0.0
48.0,155000.0,125000.0,6.125,False,False,False,False,False,False,False,0.0
48.0,255000.0,245000.0,7.25,False,False,False,False,False,False,True,0.0
96.0,155000.0,125000.0,6.375,False,False,False,False,False,True,False,0.0
55.0,375000.0,205000.0,6.375,False,False,False,False,False,False,True,0.0
112.0,385000.0,355000.0,6.25,False,False,False,False,False,False,True,943.0
99.0,435000.0,415000.0,6.5,False,False,False,False,False,False,True,327.0
160.0,675000.0,545000.0,6.625,False,False,False,False,False,False,True,0.0
130.0,405000.0,375000.0,5.99,False,False,False,False,False,False,True,0.0
155.0,405000.0,365000.0,6.625,False,False,False,False,False,False,True,0.0
96.0,315000.0,295000.0,6.875,False,False,False,False,False,True,False,0.0
121.0,395000.0,385000.0,7.125,False,False,False,False,False,False,True,0.0
100.0,245000.0,235000.0,7.25,False,False,False,False,False,True,False,0.0
240.0,755000.0,605000.0,7.35,False,False,False,False,False,False,True,0.0
81.0,345000.0,335000.0,6.625,False,False,False,False,False,False,True,0.0
72.0,355000.0,255000.0,6.875,False,False,True,False,False,False,False,0.0
95.0,385000.0,305000.0,6.0,False,False,False,False,False,False,True,0.0
79.0,315000.0,305000.0,7.25,False,False,False,False,False,False,False,0.0
101.0,325000.0,265000.0,6.625,False,False,False,False,False,False,True,0.0
46.0,275000.0,75000.0,6.375,False,False,False,False,False,False,True,0.0
178.0,565000.0,535000.0,5.99,False,False,False,False,False,False,True,0.0
63.0,315000.0,175000.0,5.125,False,False,False,False,False,False,True,0.0
90.0,425000.0,375000.0,6.75,False,False,False,False,False,False,True,0.0
71.0,345000.0,305000.0,7.125,False,False,False,False,False,False,True,110.0
140.0,415000.0,375000.0,6.49,False,False,False,False,False,False,True,0.0
26.0,95000.0,75000.0,6.625,False,False,False,False,False,False,True,0.0
133.0,465000.0,435000.0,7.375,False,False,False,False,False,False,False,0.0
130.0,345000.0,275000.0,6.875,False,False,False,False,False,False,True,0.0
83.0,455000.0,335000.0,7.325,False,False,False,False,False,True,False,197.0
167.0,395000.0,395000.0,6.875,False,False,False,False,False,False,True,0.0
166.0,1005000.0,655000.0,5.99,False,False,False,False,False,False,True,0.0
96.0,225000.0,165000.0,7.5,False,False,False,False,False,True,False,0.0
106.0,465000.0,445000.0,7.75,False,False,False,False,False,False,True,0.0
84.0,155000.0,145000.0,6.875,False,False,False,False,False,False,True,0.0
40.0,185000.0,165000.0,7.375,False,False,False,False,False,False,True,0.0
105.0,605000.0,485000.0,6.5,False,False,False,False,False,False,True,301.0
291.0,525000.0,525000.0,5.7,False,False,False,False,False,False,True,0.0
46.0,205000.0,195000.0,6.0,False,False,False,False,False,False,True,0.0
96.0,225000.0,205000.0,6.624,False,False,False,False,False,True,False,0.0
89.0,245000.0,195000.0,6.75,False,False,False,False,False,False,True,0.0
96.0,315000.0,305000.0,6.75,False,False,False,False,False,True,False,0.0
129.0,345000.0,285000.0,7.625,False,False,False,False,False,False,True,332.0
146.0,475000.0,465000.0,6.075,False,False,False,False,False,False,True,0.0
236.0,585000.0,505000.0,7.375,False,False,False,False,False,False,False,0.0
71.0,385000.0,395000.0,6.25,False,False,False,False,False,False,True,0.0
137.0,455000.0,435000.0,7.99,False,False,False,False,False,False,True,0.0
