income,property_value,loan_amount,interest_rate,black_high_density,black_vhigh_density,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,cd_High (101-200),cd_Low (1-50),cd_Medium (51-100),cd_Very High (>200)
59.0,325000.0,265000.0,3.0,False,False,False,False,False,False,False,False,True,False,False,False,False
32.0,125000.0,125000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
73.0,265000.0,255000.0,6.125,False,False,False,False,False,False,False,False,False,False,False,False,False
96.0,565000.0,395000.0,7.625,False,False,False,False,False,False,False,True,False,False,False,False,False
58.0,295000.0,195000.0,6.99,False,False,False,False,False,False,False,False,True,False,False,False,False
59.0,225000.0,75000.0,8.0,False,False,False,False,False,False,False,False,True,False,False,False,False
162.0,825000.0,575000.0,8.125,False,False,True,False,False,False,False,False,False,False,False,False,False
87.0,195000.0,195000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
98.0,345000.0,275000.0,6.0,False,False,False,False,False,False,False,True,False,False,False,False,False
67.0,245000.0,225000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,385000.0,305000.0,7.25,False,False,False,False,False,False,False,True,False,False,False,False,False
153.0,535000.0,15000.0,9.625,False,False,True,False,False,False,False,False,False,False,False,False,False
95.0,165000.0,95000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
275.0,795000.0,635000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
115.0,255000.0,255000.0,6.25,False,False,False,False,False,False,False,True,False,False,False,False,False
93.0,405000.0,405000.0,5.25,False,False,False,False,False,False,False,False,True,False,False,False,False
61.0,165000.0,155000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
129.0,375000.0,225000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
304.0,565000.0,455000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
69.0,285000.0,275000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
163.0,445000.0,415000.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False
85.0,285000.0,285000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
188.0,825000.0,745000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
89.0,295000.0,295000.0,6.625,False,False,False,False,False,False,False,False,False,False,False,False,False
135.0,345000.0,255000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
433.0,525000.0,405000.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False
90.0,465000.0,425000.0,6.624,False,False,False,False,False,False,False,True,False,False,False,False,False
90.0,175000.0,165000.0,8.0,False,False,False,False,False,False,False,False,True,False,False,False,False
50.0,175000.0,175000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
116.0,235000.0,225000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
67.0,325000.0,315000.0,5.99,False,False,True,False,False,False,False,False,False,False,False,False,False
96.0,295000.0,235000.0,6.99,False,False,False,False,False,False,False,True,False,False,False,False,False
261.0,755000.0,605000.0,6.725,False,False,False,False,False,False,False,False,True,False,False,False,False
243.0,1105000.0,735000.0,4.51,False,False,False,False,False,False,False,False,True,False,False,False,False
86.0,145000.0,145000.0,9.65,False,False,False,False,False,False,False,False,True,False,False,False,False
42.0,165000.0,145000.0,7.625,False,False,False,False,False,False,False,False,True,False,False,False,False
127.0,605000.0,485000.0,4.99,False,False,False,True,False,False,False,False,False,False,False,False,False
172.0,415000.0,405000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
64.0,385000.0,375000.0,6.99,False,False,False,False,False,False,False,False,True,False,False,False,False
51.0,115000.0,105000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,245000.0,235000.0,5.875,False,False,False,False,False,False,False,True,False,False,False,False,False
98.0,175000.0,175000.0,7.25,False,False,False,False,False,False,False,False,False,False,False,False,False
1089.0,1905000.0,1525000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,415000.0,395000.0,6.5,False,False,False,False,False,False,False,True,False,False,False,False,False
114.0,165000.0,125000.0,7.67,False,False,False,False,False,False,False,False,True,False,False,False,False
250.0,505000.0,405000.0,5.99,False,False,False,False,False,False,False,False,True,False,True,False,False
112.0,175000.0,165000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
65.0,325000.0,305000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
241.0,555000.0,445000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
129.0,375000.0,255000.0,6.075,False,False,False,False,False,False,False,False,True,False,False,False,False
83.0,295000.0,285000.0,7.625,False,False,False,False,False,False,False,False,False,False,False,False,False
71.0,325000.0,305000.0,6.875,False,False,False,False,False,False,False,False,True,False,False,False,False
52.0,95000.0,85000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,345000.0,325000.0,7.125,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,235000.0,245000.0,6.625,False,False,False,False,False,False,False,True,False,False,False,False,False
